NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Skyland,3245,173,1621,1325,0,0,0,0,126,5.33127889,49.95377504,40.83204931,0,0,0,0,3.88289676,1621,1624,303,55,43,79,358,122,501,784,339,280,525,147,189,480,535,14.79198767,16.48690293,37,35.7,39.2,3023,411,81,29,26,43,79,84,69,2612,1726,338,779,326,140,143,2583,217,433,589,1344,2942,2776,147,1525,1421,104,1014,407,1421,814,501,313,107,206,607,473,134,133,48,82,53,21,62,42,36,68,37,155,164,142,112,154,112,67375,92813,41509,67375,92813,46551,58260,35436,21308,36595,17274,71932,52434,1947,0,42,28,25,19,68,93,403,264,583,945,1111,340000,3158,87,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,83,83,9,65,9,0,13.2,8.47665848
Cole,4775,2463,1539,666,2,10,0,1,94,51.58115183,32.23036649,13.94764398,0.04188482,0.20942408,0,0.02094241,1.96858639,2514,2261,296,321,371,234,617,684,804,1187,696,306,288,143,50,1222,418,25.59162304,8.7539267,32.1,32.5,31.9,4632,1240,74,108,233,295,317,169,44,3392,2266,704,717,466,174,205,3344,953,622,732,1037,4479,2713,1708,1890,1744,146,891,853,1744,904,466,438,207,231,840,476,364,177,93,184,45,185,71,40,65,25,73,237,207,124,73,51,94,48700,52941,26258,48700,52941,32705,35800,28816,23494,21034,30051,49856,55139,1939,0,4,73,52,96,72,117,146,14,1316,754,857,265400,3603,1172,34,10,17,0,7,25,5,1,0,19,0,0,0,0,0,2,1111,1111,0,1086,25,0,25.3,22.01327434
Marston,11659,1904,8313,0,26,935,0,0,481,16.31066961,70.96799542,0,0.20268163,8.5014772,0,0,4.01717614,5487,6172,766,603,353,219,1369,742,1629,2004,1456,1832,1631,715,281,1941,2377,16.7276718,20.88748606,40.85,36.85,44.45,11252,2166,201,166,429,270,309,606,185,9086,6672,1056,2563,1692,862,499,8993,397,1368,3607,3621,10893,9424,567,5807,5572,235,3485,2087,5572,2715,2117,598,162,436,2857,2232,625,208,122,76,250,265,211,108,229,252,792,839,957,496,177,338,252,65634,77691,39550,65634,77691,42731,47069,38250,30476,31368,35470,54066,58986,1989,0,43,911,1786,1954,1012,44,30,0,27,1122,1222,294400,10650,1009,218,53,41,32,92,636,176,241,219,0,0,0,0,0,0,0,155,155,0,55,100,0,5.15,3.58146067
Washington Virginia Vale,13882,2252,7790,2290,68,825,0,27,630,15.14499803,60.15893911,13.53444952,0.4405804,5.25564327,0,0.33284024,5.13254942,7059,6823,877,585,572,312,1462,1072,2838,2495,1636,1696,1050,834,799,2346,2536,15.3205534,18.85169958,37.43333333,36.5,38.16666667,13276,2918,185,158,516,439,337,958,325,10358,7221,1613,2832,1847,499,430,10349,815,1615,3079,4840,13005,10313,824,7203,6757,446,2550,4207,6757,3074,2025,1049,384,665,3683,2960,723,550,379,235,471,398,318,433,508,301,482,654,745,475,232,326,250,51990,65751,34699,51990,65751,37500,40540,33322,26378,26364,33965,43693,57318,1969.666667,9,32,289,626,863,2752,1481,1021,91,39,1032,1143,279200,11582,2300,467,67,44,29,327,724,192,307,139,86,707,234,48,30,60,0,402,402,14,273,115,0,14.03333333,10.15263886
Barnum,6453,4844,1536,33,40,0,0,0,0,75.06586084,23.80288238,0.51139005,0.61986673,0,0,0,0,3105,3348,436,483,659,369,919,1280,946,1080,690,846,318,224,150,1947,749,30.17201302,11.60700449,30.6,32,29.4,6221,1759,80,76,378,537,423,250,15,4462,2724,376,988,774,267,319,3722,1329,1172,821,400,6017,2553,3410,2047,1925,122,1037,888,1925,1385,828,557,96,461,540,388,152,189,163,77,146,125,116,110,73,143,236,190,227,81,39,10,0,42719,37294,14758,42719,37294,26775,30239,25114,25450,23495,30823,29868,None,1952,0,0,30,12,82,115,182,801,374,451,943,1100,168000,4729,1724,36,8,14,0,14,15,0,0,0,15,0,0,0,0,0,4,1669,1669,0,1625,44,0,28.2,28.5198556
Barnum West,6248,4605,1218,175,29,140,0,15,66,73.70358515,19.49423816,2.80089629,0.46414853,2.24071703,0,0.24007682,1.05633803,3363,2885,494,378,352,386,872,850,1007,964,792,665,696,240,162,1610,673,25.76824584,10.77144686,34,30.3,37.8,5920,1311,102,62,297,321,278,212,39,4609,2796,375,1223,897,190,111,3923,1419,1186,677,641,5754,2403,3160,1876,1795,81,1152,643,1795,1195,712,483,122,361,600,372,228,68,72,150,146,68,77,145,20,49,245,190,298,80,104,73,10,55871,56250,20076,55871,56250,32155,32832,31536,25515,35793,26458,52566,None,1954,0,0,4,62,34,95,79,1116,355,131,1004,1091,201000,4325,1923,23,16,7,0,0,143,0,0,132,11,37,37,0,0,0,0,1720,1720,0,1720,0,0,18.8,17.9916318
Speer,11793,1422,9493,236,11,400,0,0,231,11.78620282,80.73825964,1.90284468,0.08434936,3.36929213,0,0,2.11905137,5822,5971,377,178,189,148,555,423,3088,3350,1587,1114,962,409,305,892,1301,7.60826882,11.1390181,33.8,35.96666667,32.56666667,11607,1689,191,28,110,186,164,470,540,9918,7759,1941,3321,1639,569,289,10061,192,785,2029,7055,11416,10373,508,8231,7358,873,2075,5283,7358,1534,1120,414,196,218,5824,4468,1356,466,275,299,240,347,275,471,464,254,613,870,828,567,486,479,424,58245,110399,51809,58245,110399,52225,52771,52919,None,36161,49081,52050,60848,1959,167,227,116,376,501,1297,1620,994,305,2628,1045,1090,388033,11071,722,188,31,63,0,94,278,44,100,134,0,51,0,19,32,0,0,205,160,21,90,49,45,10.76666667,3.42466693
Cherry Creek,7140,480,6211,91,0,228,0,0,130,6.72268908,86.98879552,1.2745098,0,3.19327731,0,0,1.82072829,3337,3803,265,255,142,56,520,198,619,1233,990,995,1381,746,458,718,2470,10.05602241,34.59383754,50.1,48.4,51.7,6954,716,95,64,179,148,56,113,61,6238,3157,778,1368,780,142,89,6066,219,494,1127,4226,6875,6019,159,4654,4265,389,2349,1916,4265,1775,1332,443,206,237,2490,2049,441,278,187,105,142,114,74,87,139,172,259,150,286,364,239,576,1093,107168,193015,96060,107168,193015,77958,100000,58589,28866,None,58169,95700,81181,1992,181,91,988,1317,706,471,233,225,71,371,1403,1480,762500,6176,964,404,186,53,0,165,316,15,234,41,26,14,14,0,0,0,16,214,118,49,0,69,96,7.2,1.97183099
Country Club,3170,123,2897,10,57,22,0,0,61,3.88012618,91.38801262,0.31545741,1.79810726,0.69400631,0,0,1.92429022,1578,1592,237,148,202,111,385,332,351,361,488,427,500,300,26,698,858,22.01892744,27.06624606,43.6,42.5,44.2,3012,650,77,9,120,185,125,52,82,2362,1520,619,507,268,99,27,2308,19,32,262,1995,2933,2664,149,1416,1341,75,1074,267,1341,833,714,119,55,64,508,380,128,28,0,11,39,9,9,8,19,27,43,92,102,147,67,109,631,173750,231625,108423,173750,231625,77361,144432,55238,None,None,61977,76361,91806,1939,0,0,48,28,10,36,21,80,68,1125,1696,1769,957500,3023,147,49,18,14,0,17,30,22,8,0,0,10,10,0,0,0,0,58,19,0,9,10,39,2.7,0
Congress Park,11559,1178,9489,545,42,149,0,0,156,10.68808529,81.7706781,4.26435332,0.41710278,1.40089808,0,0,1.45888243,5870,5689,613,336,210,234,949,510,2806,3164,1309,1251,927,448,195,1393,1371,12.55612751,12.03171186,34.23333333,35.03333333,33.66666667,11171,2082,216,59,288,169,243,656,451,9089,7189,1906,3451,1415,287,130,9404,171,631,1769,6833,10946,10182,434,6250,5893,357,2499,3394,5893,2093,1757,336,121,215,3800,2804,996,369,303,165,247,180,161,277,341,280,697,398,504,505,378,443,645,79312,120515,52237,79312,120515,49542,57149,46950,None,29719,34793,48652,71544,1941.666667,28,58,218,197,172,441,841,498,390,3407,1190,1240,496933,11030,529,96,26,19,0,51,113,49,38,26,0,52,0,0,43,9,13,255,175,0,122,53,80,9.8,2.32473913
City Park,3375,349,2591,315,4,63,0,13,40,10.34074074,76.77037037,9.33333333,0.11851852,1.86666667,0,0.38518519,1.18518519,1566,1809,161,70,64,40,231,104,792,1047,303,221,359,216,102,335,661,9.92592593,19.58518519,34.4,34.9,34.2,3282,607,45,6,64,64,40,233,155,2675,2041,504,895,414,118,110,2915,81,201,756,1877,3214,2907,246,1979,1831,148,739,1092,1831,519,411,108,25,83,1312,938,374,121,132,94,75,124,57,77,37,152,72,93,222,173,142,78,182,54861,131250,49765,54861,131250,41994,49256,35727,None,24118,31550,41531,61425,1961,56,5,582,111,45,49,165,147,60,759,927,941,398100,3169,206,10,0,0,0,10,34,6,9,19,0,33,0,0,0,33,9,120,103,65,20,18,17,13,3.27552987
Capitol Hill,15853,1659,12368,561,109,602,0,16,538,10.58829172,77.83385264,3.6147768,0.69967609,3.70471969,0,0.09019674,3.46848632,8478,7375,228,142,106,182,370,379,5994,4495,1399,1602,1282,202,130,658,1141,4.09021773,7.07934321,31.43333333,32.73333333,29.96666667,15738,2435,23,48,102,74,192,1153,843,13303,10837,2512,5034,2279,428,584,13864,268,1543,3024,9029,15625,14096,853,11713,11098,615,2320,8778,11098,1447,1082,365,227,138,9651,7715,1936,1266,517,532,772,568,844,444,626,521,1102,961,1469,530,372,368,206,45296,85005,41521,45296,85005,38638,41313,35995,16250,33879,31408,42212,54604,1952.333333,58,35,471,203,622,1468,2044,1524,682,4606,948,998,233700,14742,1111,286,42,114,15,115,429,173,136,110,10,47,15,0,18,0,0,349,330,118,100,112,19,17.33333333,9.91556834
North Capitol Hill,6040,610,4668,458,35,107,0,0,162,10.01378977,77.58547088,7.35485317,0.55723684,1.69859038,0,0,2.79005897,3316,2724,51,7,2,22,58,55,2334,1618,567,571,602,141,94,82,541,1.44615436,8.89473279,32,33.05,30.35,5996,480,0,0,0,2,22,158,298,5516,4176,1183,1785,745,240,223,5301,250,482,1065,3504,5989,5425,198,4423,4090,333,559,3531,4090,550,461,89,64,25,3540,2625,915,530,160,286,199,120,74,152,142,167,337,380,391,412,257,313,170,62826,121162,51805,62826,121162,55427,65206,49862,None,39286,38532,55614,71355,1982,35,314,1078,562,317,192,165,144,169,1447,1142,1214,359350,5547,493,138,86,0,14,38,116,24,0,43,49,19,11,0,0,0,0,220,169,0,86,83,51,15.55,6.0362173
Civic Center,1962,146,1596,124,0,50,18,0,28,7.44138634,81.34556575,6.32008155,0,2.54841998,0.91743119,0,1.42711519,1106,856,29,0,0,0,29,0,458,407,284,432,179,137,36,29,354,1.47808359,18.04281346,42.1,41.7,43.7,1933,226,0,0,0,0,0,176,50,1707,1142,386,565,117,42,32,1821,38,196,470,1117,1933,1760,56,1515,1299,216,341,958,1299,350,312,38,18,20,949,786,163,90,98,50,25,56,29,36,22,40,41,93,166,177,109,83,184,79365,133523,72673,79365,133523,58854,61990,52560,None,17045,36994,61797,90769,2002,87,49,757,359,36,61,11,37,10,108,1450,1622,459300,1789,173,46,11,24,11,0,76,21,17,13,25,0,0,0,0,0,0,51,34,0,0,34,17,12.3,0
CBD,4107,431,3105,200,16,165,0,16,174,10.49427806,75.60262966,4.8697346,0.38957877,4.01753104,0,0.38957877,4.2366691,2220,1887,7,7,21,0,14,376,1426,883,608,367,273,160,0,35,352,0.85220355,8.5707329,31.5,32.9,27.8,4100,1213,7,0,21,0,22,1092,71,2887,2603,1066,869,411,220,37,2994,130,137,564,2163,4100,3846,106,3284,2512,772,1035,1477,2512,440,384,56,17,39,2072,1656,416,307,89,80,113,34,34,15,49,200,261,205,206,122,174,332,291,64709,198393,66464,64709,198393,67226,83161,56931,None,None,56250,77973,122683,1970,0,412,444,86,466,219,839,178,0,640,1384,1438,374800,3764,343,65,24,19,0,22,108,42,66,0,0,25,25,0,0,0,9,136,119,19,20,80,17,17.5,3.63636364
