crimeKey,isNighttime
0,1
1,0
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,0
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,1
52,1
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,1
55,0
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,0
139,0
140,1
141,0
142,0
143,0
144,1
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
139,0
166,1
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,1
182,0
183,0
184,1
185,1
186,0
187,1
188,0
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,0
197,1
198,0
199,0
200,0
173,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,0
230,0
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,0
257,0
258,0
259,1
260,1
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,0
281,0
282,0
283,1
284,0
285,0
286,0
287,1
288,0
289,0
290,0
291,0
292,1
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,1
259,1
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,1
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,0
55,0
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,0
381,0
382,1
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,0
391,0
392,0
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,1
403,0
404,0
405,1
406,1
407,1
408,0
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,1
419,0
420,0
421,0
422,0
423,1
424,0
425,0
426,1
427,0
428,1
429,1
430,1
431,1
432,1
320,0
434,1
435,0
436,0
437,1
36,0
439,0
440,0
441,0
442,0
443,0
444,1
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,1
461,0
462,0
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,1
471,0
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,1
486,0
487,0
488,1
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,0
505,1
506,1
507,1
508,1
509,0
510,1
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,1
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,1
529,1
530,1
531,0
532,0
533,1
534,1
535,1
536,0
537,1
538,0
539,0
540,1
541,0
170,0
543,0
544,0
545,1
546,0
547,0
548,0
549,0
550,1
551,0
552,0
553,1
554,0
555,0
556,1
557,0
558,0
559,1
560,0
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,0
569,0
570,0
571,0
572,0
573,1
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,1
584,1
202,0
586,0
587,0
588,0
589,0
590,1
591,0
592,1
593,0
594,0
595,1
596,1
597,1
598,1
599,1
600,0
601,1
602,1
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,1
612,0
613,0
102,1
615,0
616,0
617,0
618,1
619,1
620,0
621,0
622,0
623,1
624,0
168,1
626,0
627,0
628,0
629,1
630,0
631,0
632,0
633,0
634,0
635,1
636,1
637,0
638,0
639,1
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,1
649,0
650,0
651,1
652,1
653,0
654,0
655,1
656,0
657,0
658,1
659,0
660,1
661,0
662,1
663,1
664,1
665,1
666,0
667,0
668,1
669,0
670,0
671,1
672,0
673,0
674,0
675,1
676,1
677,0
678,0
679,1
680,0
681,0
682,1
683,1
684,0
685,0
686,0
687,1
688,0
689,0
690,0
691,0
692,0
693,1
694,1
695,0
696,0
697,0
698,1
699,0
700,1
701,0
702,1
703,1
660,1
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,0
713,0
714,1
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,1
724,1
725,0
726,0
727,0
728,0
729,0
730,0
731,1
732,1
733,0
734,0
735,0
736,1
657,0
738,0
739,0
740,0
741,1
742,0
743,1
744,1
745,0
746,0
747,0
748,1
749,0
750,1
751,1
752,0
753,1
754,1
755,0
756,1
757,1
758,1
759,1
760,0
761,1
762,0
763,1
764,0
765,0
766,0
767,1
768,0
769,0
770,0
771,1
772,0
773,0
774,1
775,1
211,0
777,0
778,0
779,0
780,0
781,0
782,0
783,1
784,0
785,0
786,0
787,1
788,1
789,0
790,0
791,0
792,0
793,1
794,1
795,1
796,1
797,0
798,1
799,0
800,0
801,0
802,1
803,1
804,1
805,0
806,0
807,0
808,0
809,0
810,1
811,0
812,1
813,0
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
732,1
354,0
313,0
831,0
832,0
833,1
834,1
835,0
836,1
837,1
838,0
839,0
840,1
841,0
842,1
843,0
844,0
845,0
846,0
781,0
848,0
849,1
850,1
851,1
852,0
853,1
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,1
865,1
866,0
867,0
868,1
869,1
870,0
871,1
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
49,1
881,1
882,0
883,0
884,1
885,1
886,0
887,1
888,0
889,1
890,0
891,1
892,0
893,0
894,1
895,1
896,0
897,0
898,1
899,0
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,0
910,0
911,1
912,1
913,0
914,1
915,1
916,0
917,0
918,0
919,0
920,0
921,1
922,1
923,0
924,0
925,0
926,0
927,1
928,1
929,1
930,1
931,0
932,0
933,0
934,1
935,0
936,0
937,1
938,0
939,1
940,1
941,0
942,1
943,0
944,1
945,1
946,1
947,0
948,1
949,0
950,0
951,1
952,1
953,0
954,0
955,0
956,1
957,0
958,0
959,0
960,1
961,0
779,0
963,0
964,1
965,1
966,1
967,1
968,1
969,0
970,1
971,0
972,1
973,0
974,1
975,1
976,0
977,0
978,1
979,0
980,0
981,1
982,1
983,0
984,1
985,0
986,0
987,0
988,0
989,1
990,0
991,1
992,1
993,1
994,1
995,0
996,1
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,1
1011,1
1012,0
1013,0
1014,0
1015,1
1016,1
1017,0
1018,1
1019,1
1020,0
1021,1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,1
1037,1
1038,0
815,0
1040,1
1041,1
1042,0
1043,0
695,0
1045,1
1046,0
1047,0
1048,0
1049,0
1050,1
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1057,0
1058,0
259,1
1060,1
1061,0
1062,1
1063,0
1064,0
1065,1
1066,0
1067,0
1068,1
1069,1
1070,1
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,1
1078,0
1079,0
1080,0
1081,1
1082,1
1083,0
1084,0
1085,1
1086,0
1087,1
1088,0
1089,1
1090,0
1091,1
1092,1
1093,1
1094,0
1095,0
1096,0
1097,0
1098,1
1099,1
1100,1
1101,1
1102,0
1103,0
1104,0
1105,0
1106,1
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,1
1116,0
1117,0
1118,1
1119,0
1120,0
1121,0
823,0
1123,1
1124,0
1125,0
1126,0
1127,1
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,1
1137,0
1138,0
1139,1
1140,0
1141,0
1142,1
1143,1
669,0
1145,0
1146,1
1147,1
1148,0
1149,0
1150,1
1151,1
1152,0
1153,1
1154,0
1155,0
1156,0
1157,0
619,1
1159,1
647,0
1161,0
1162,1
1163,0
1164,0
1165,0
1166,1
1167,1
1168,1
1169,1
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,1
1177,0
1178,1
1179,0
1180,0
1181,1
1182,0
1183,0
1184,0
1185,1
1186,1
1187,0
1188,0
1189,0
1190,1
1191,0
1192,1
1193,0
1194,0
1195,1
1196,0
1197,1
1198,0
1199,0
1200,0
1201,0
1202,1
1203,0
1204,0
1205,0
1206,0
1207,0
1208,1
1209,1
1210,0
1211,0
78,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,1
1221,1
1222,0
1223,0
1224,1
1225,0
1226,0
1227,1
217,0
1229,0
1230,0
